181.843521118,30.5237445831,25.3186416626
43.1457557678,34.1698875427,28.3977184296
106.810661316,34.4398002625,28.1659832001
11.6067523956,31.5223464966,25.6657123566
1704.28112793,35.2448387146,26.4359931946
180.298416138,42.8980026245,33.0248985291
118.833595276,44.6305618286,33.8704948425
175.237579346,46.9101409912,35.6546592712
114.953300476,53.4348144531,38.7437896729
144.189422607,37.5958595276,25.6910476685
76.7097320557,32.7275886536,23.5964736938
56.2651557922,40.7723312378,28.3256435394
nan,19.43542099,14.2457561493
nan,26.1774463654,19.3786964417
nan,34.4509963989,26.0793914795
nan,38.8555297852,28.1548442841
nan,39.6847724915,27.1188087463
nan,37.1161003113,23.2004413605
nan,41.461730957,27.5991802216
nan,50.3897171021,33.1011772156
nan,53.3463897705,33.0707778931
nan,56.7595024109,33.8149490356
nan,63.8632011414,38.1024703979
nan,47.0352516174,27.4316272736
nan,41.8368835449,24.8489303589
nan,51.7851295471,30.0161495209
nan,27.2030448914,14.5873212814
nan,35.3775978088,19.7874584198
nan,28.3305301666,27.442949295
nan,32.0091705322,29.4403095245
nan,32.8051223755,28.2899341583
nan,30.990404129,23.9131736755
nan,34.2200965881,29.5840148926
nan,41.6172027588,35.0797042847
nan,44.1267127991,35.0269165039
nan,47.1486549377,35.6547851562
nan,53.8828849792,40.7386436462
nan,39.0191802979,29.8547592163
nan,34.739276886,26.7143573761
nan,43.1812553406,32.4315490723
nan,22.6333599091,15.6037273407
nan,29.4935855865,21.0063152313
nan,25.8194465637,28.0596809387
nan,29.2590579987,30.4123268127
nan,30.0636672974,29.608915329
nan,28.4490356445,25.5295734406
nan,31.1239910126,30.9052524567
nan,37.8448257446,36.8165550232
nan,40.0652923584,37.1861763
nan,42.7816886902,38.1866111755
nan,49.1935424805,43.7798500061
nan,35.3204917908,31.6833934784
nan,31.3108463287,28.0308742523
nan,38.9319000244,34.1633262634
nan,20.1871051788,16.5360622406
nan,26.1949996948,22.1291656494
nan,51.0608825684,27.944852829
nan,37.3357849121,30.6089515686
nan,50.5857315063,30.2004146576
nan,42.641166687,26.6742744446
nan,49.9112968445,31.3939933777
nan,17.7760562897,37.6369018555
nan,16.0445194244,38.4423866272
nan,60.9872665405,39.8624572754
nan,43.7121391296,45.8906555176
nan,59.6107788086,32.6848144531
nan,49.841468811,28.6165161133
nan,12.6325483322,35.2047271729
nan,58.8954200745,16.9148139954
nan,24.3298969269,22.7235069275
nan,23.4680709839,28.2875843048
nan,31.1869297028,32.4727210999
nan,24.4178295135,33.4136619568
nan,31.107378006,31.68491745
nan,27.5434627533,33.3456573486
nan,31.9541110992,41.3974266052
nan,15.3967990875,43.9163665771
nan,15.152009964,47.0236854553
nan,31.2666454315,53.3961639404
nan,21.8164405823,36.2527694702
nan,30.1197738647,31.5604610443
nan,24.7532081604,39.9957504272
nan,28.6629810333,19.1390724182
nan,11.4023170471,26.1108379364
nan,10.8472003937,34.9034461975
nan,34.5870323181,40.4688644409
nan,23.5357112885,42.0756492615
nan,32.9098548889,40.3740882874
nan,26.6371669769,41.9934692383
nan,30.8108310699,52.352973938
nan,12.1047067642,56.4164810181
nan,11.434928894,60.7757759094
nan,44.3064842224,68.1638183594
nan,33.353012085,46.8699302673
nan,44.1322135925,41.1322975159
nan,37.7979316711,52.1322555542
nan,11.0287914276,25.5674171448
nan,43.8336486816,34.4225387573
nan,19.9180240631,34.2617835999
nan,19.3279457092,39.5210838318
nan,29.4224529266,41.0591964722
nan,22.3845405579,39.6591529846
nan,29.1788730621,41.5028648376
nan,25.1609458923,51.5074462891
nan,28.7408390045,55.5647201538
nan,13.1743068695,60.1560592651
nan,12.6790924072,67.5612030029
nan,40.8427391052,47.0788383484
nan,29.7799301147,41.6031608582
nan,39.9256820679,52.8042488098
nan,33.4509925842,26.4483890533
nan,37.9456367493,35.4089202881
nan,16.4184837341,36.675983429
nan,15.5557098389,42.0340538025
nan,53.8321838379,43.5446281433
nan,39.3722610474,41.9916877747
nan,52.9548377991,44.7066497803
nan,44.4171180725,55.0385894775
nan,12.6161775589,59.572467804
nan,50.7124671936,64.5067443848
nan,22.665063858,72.7819061279
nan,21.686384201,51.5138587952
nan,64.9334106445,45.8521728516
nan,48.2198944092,57.6063423157
nan,65.392829895,29.5233249664
nan,55.715801239,39.085067749
nan,17.5045719147,24.0972576141
nan,66.2341461182,27.3473320007
nan,30.1015300751,28.1618766785
nan,29.4840526581,26.7807178497
nan,63.9340515137,28.8769645691
nan,46.5508308411,35.0805740356
nan,64.0930175781,37.1906280518
nan,53.8751831055,39.7956886292
nan,17.047121048,45.5400772095
nan,64.1603622437,31.4102210999
nan,28.7491817474,26.6243877411
nan,28.1457653046,33.614654541
nan,67.3365478516,15.8106555939
nan,49.976146698,21.1817588806
nan,68.4314575195,23.4903144836
nan,58.3416213989,26.9940986633
nan,19.7396316528,27.9979972839
nan,72.0719909668,26.8603515625
nan,32.3583297729,27.859621048
nan,32.0578575134,34.1347465515
nan,37.3760681152,36.3771591187
nan,36.4995269775,39.093421936
nan,35.1436309814,43.9225730896
nan,36.4953956604,28.8330554962
nan,34.5583877563,23.4193973541
nan,34.3819122314,30.3901596069
nan,37.8975219727,12.9673366547
nan,26.0261421204,18.159034729
nan,32.2945365906,16.1536216736
nan,35.8838615417,20.38139534
nan,43.7896080017,22.3457603455
nan,46.0546340942,22.9249324799
